name,phone,email,mc,dot,street,state,city,dot_apply_date,mc_appy_date,mc_grant_date,power_unit,driver_total,mcs_file_date
AUTO HAULERS R US LLC,(346) 204-8475,ABDUL@AUTOHAULERSRUS.COM,1174490,3494230,3861 E PINON CT,AZ,GILBERT,25-SEP-20,12/08/2020,20210106,1,1,02-DEC-21
ELM LOGISTICS LLC,(405) 593-7339,SUPPORT@ELMLOGISTICS.NET,1175840,3531512,7102 N 43RD AVE APT 164,AZ,GLENDALE,05-DEC-20,12/09/2020,20210106,1,2,05-DEC-20
TROKERA TRANSPORT LLC,(520) 980-6290,TROKERATRANSPORT@GMAIL.COM,1177651,3534188,1120 N DUNCAN DR,AZ,NOGALES,10-DEC-20,12/15/2020,20210106,1,1,29-DEC-20
GOLDEN HIGHWAY LLC,(916) 588-6979,AKIL_FRM_CALI@YAHOO.COM,1261152,3654760,13718 W PECK DR,AZ,LITCHFIELD PK,10-JUN-21,06/15/2021,20211115,1,1,28-JUN-21
RAYMOND'S TRUCK LLC,(602) 446-5391,RAYMONDSTRUCKLLC@GMAIL.COM,1284777,3687053,3526 W YUCCA ST,AZ,PHOENIX,26-JUL-21,07/29/2021,20211115,1,1,19-NOV-21
MALDONADO BROTHER'S TRANSPORT LLC,(480) 936-9520,GEO68MM@GMAIL.COM,1290781,3695314,4540 S DEAVER RD,AZ,TUCSON,05-AUG-21,08/10/2021,20211115,1,1,05-AUG-21
HOME RUN TRUCKING LLC,(623) 533-5242,HOMERUNTRUCKINGAZ@TCSPHOENIX.COM,1320810,3736197,140 N 119TH DR,AZ,AVONDALE,04-OCT-21,10/07/2021,20211115,1,1,04-OCT-21
SWERVE TRANSPORTATION LLC,(337) 849-4340,BRYAN.GUILBEAU@YAHOO.COM,1322571,3738681,2350 S WADE DR UNIT 1039,AZ,GILBERT,06-OCT-21,10/12/2021,20211115,1,4,06-OCT-21
ERR TRANSPORTATION LLC,(520) 507-4899,ERRTRANSPORTATION@GMAIL.COM,1325432,3742607,141 S IRONWOOD LN,AZ,WILLCOX,12-OCT-21,10/15/2021,20211115,1,1,23-NOV-21
REM ENTERPRISE LLC,(623) 666-3721,REMENTERPRISE2021@GMAIL.COM,1325477,3742666,5839 W DESERT DR,AZ,LAVEEN,13-OCT-21,10/18/2021,20211115,1,2,13-OCT-21
